feature,bucket,trade_count,win_rate,mean_net_return,median_net_return,total_net_return_sum,edge_vs_all
failed_attempts_90,>p75 3.000000,1,0.0,-0.03701492784141425,-0.03701492784141425,-0.03701492784141425,-0.1695728879430041
dist_threshold,>p75 0.019402,3,0.6666666666666666,-0.03799244660339529,0.0054450534778163195,-0.11397733981018587,-0.17055040670498514
dist_sma750,>p75 0.055082,3,0.6666666666666666,-0.03799244660339529,0.0054450534778163195,-0.11397733981018587,-0.17055040670498514
atr_pctile_180,p50-p75 0.716667..0.900000,3,0.3333333333333333,-0.06431216076682873,-0.026896134766850044,-0.1929364823004862,-0.1968701208684186
close_position,p25-p50 0.296089..0.477725,3,0.0,-0.07405819825319486,-0.03995270868387368,-0.22217459475958456,-0.2066161583547847
entry_streak,p25-p50 3.000000..3.000000,0,,,,,
entry_streak,p50-p75 3.000000..3.000000,0,,,,,
entry_streak,>p75 3.000000,0,,,,,
bars_below_threshold_before_entry,p25-p50 0.000000..0.000000,0,,,,,
bars_below_threshold_before_entry,p50-p75 0.000000..0.000000,0,,,,,
bars_below_threshold_before_entry,>p75 0.000000,0,,,,,
